Repository Name,Project Name,Stars Count
TheAlgorithms/Ruby,TheAlgorithms,19.7k
ruby/ruby,ruby,3.5k
airbnb/ruby,airbnb,51.7k
exercism/ruby,exercism,455
docker-library/ruby,docker-library,498
training-mode/ruby,training-mode,876
