Repository Name,Project Name,Stars Count
airbnb/ruby,airbnb,51.8k
TheAlgorithms/Ruby,TheAlgorithms,19.7k
ruby/ruby,ruby,3.5k
training-mode/ruby,training-mode,881
docker-library/ruby,docker-library,502
exercism/ruby,exercism,455
