Repository Name,Project Name,Stars Count
TheAlgorithms/Python,TheAlgorithms,149k
joeyajames/Python,joeyajames,36.7k
geekcomputers/Python,geekcomputers,26.7k
exercism/python,exercism,16.8k
walter201230/Python,walter201230,13.6k
Show-Me-the-Code/python,Show-Me-the-Code,2k
docker-library/python,docker-library,1.3k
