Repository Name,Project Name,Stars Count
TheAlgorithms/Python,TheAlgorithms,149k
injetlee/Python,injetlee,8k
joeyajames/Python,joeyajames,5.3k
gxcuizy/Python,gxcuizy,1.3k
kubernetes-client/python,kubernetes-client,1.6k
docker-library/python,docker-library,16.8k
exercism/python,exercism,148k
