Repository Name,Project Name,Stars Count
DuGuQiuBai/Java,DuGuQiuBai,10.6k
chenhaoxiang/Java,chenhaoxiang,2.6k
DuHouAn/Java,DuHouAn,577
kubernetes-client/java,kubernetes-client,983
pubnub/java,pubnub,717
dockerfile/java,dockerfile,372
sous-chefs/java,sous-chefs,129k
structurizr/java,structurizr,856
